yyyymm;veh_f_all;veh_s_all;veh_u_all;veh_r_all;vehrn_lp_all;vehrn_biap_all;vehrn_lr_all;vehrn_biar_all;vehrn_gt_all;vehrn_mpg_all;vehrn_hp_all;vehrn_hr_all;vehrn_tb_all;vehrn_fb_all;vehrn_gas_all;vehrn_sel_all
199207;62;4;34;128;38;6;22;1;2;0;20;4;10;7;0;2
199208;62;5;33;129;39;7;26;1;3;0;18;4;9;12;0;3
199209;62;6;32;130;40;7;27;1;2;0;19;3;9;9;0;1
199210;56;9;35;121;36;7;22;2;1;0;18;3;11;8;1;3
199211;63;8;29;134;35;9;27;2;3;0;14;4;8;7;0;1
199212;69;7;24;145;41;6;25;2;4;0;12;2;7;6;0;1
199301;63;8;29;134;43;5;25;1;5;0;15;4;9;4;1;2
199302;61;10;29;132;36;4;26;1;5;0;15;5;7;8;0;2
199303;64;8;28;136;32;10;29;2;4;0;16;3;9;7;0;2
199304;64;9;27;137;34;7;30;2;5;0;16;2;7;5;0;2
199305;65;10;25;140;35;9;29;1;5;0;14;3;7;5;0;3
199306;67;6;27;140;30;8;31;3;7;1;13;2;8;7;1;1
199307;67;7;26;141;38;7;33;1;2;0;16;2;8;4;0;2
199308;64;10;26;138;33;8;26;1;5;0;17;3;8;6;0;2
199309;63;8;29;134;32;7;32;1;3;1;16;2;8;6;0;2
199310;63;6;31;132;29;10;27;2;5;1;22;3;9;4;0;2
199311;65;9;26;139;30;8;33;1;5;1;16;2;8;5;0;2
199312;68;8;24;144;32;6;34;1;7;0;17;1;6;4;0;2
199401;70;8;22;148;34;6;34;2;9;1;14;2;7;2;0;2
199402;73;9;18;155;35;8;37;1;7;0;12;3;3;2;0;1
199403;70;7;23;147;29;13;31;3;8;0;17;2;5;3;0;2
199404;71;8;21;150;29;14;31;3;7;0;15;2;6;2;0;1
199405;67;9;24;143;26;12;27;4;7;0;15;3;4;3;0;3
199406;68;8;24;144;27;10;27;3;8;1;15;5;3;2;1;1
199407;68;7;25;143;28;14;27;4;6;1;17;4;6;2;0;2
199408;67;9;24;143;27;13;24;4;7;0;17;7;2;1;0;2
199409;68;8;24;144;25;14;24;4;7;1;19;4;3;2;0;1
199410;66;6;28;138;28;13;23;3;9;1;21;6;5;3;0;2
199411;64;9;27;137;27;10;22;4;8;1;18;6;6;2;0;0
199412;62;10;28;134;22;12;16;7;9;1;18;9;6;1;0;2
199501;67;5;28;139;28;12;17;6;10;0;19;7;5;2;0;2
199502;60;9;31;129;23;13;15;4;8;0;21;11;6;2;0;2
199503;64;8;28;136;29;13;16;6;9;1;18;9;4;3;0;1
199504;57;9;34;123;23;12;17;4;8;0;25;9;5;2;0;4
199505;61;7;32;129;30;14;17;3;5;0;24;6;4;2;0;1
199506;61;9;30;131;29;13;19;3;5;0;21;5;4;2;0;1
199507;68;5;27;141;27;10;26;1;7;0;18;4;7;4;0;1
199508;61;7;32;129;27;12;21;2;7;0;23;4;6;2;0;2
199509;64;7;29;135;28;12;20;1;7;0;22;4;5;2;0;1
199510;57;11;32;125;33;9;16;1;4;0;23;2;8;4;0;2
199511;59;12;29;130;27;10;19;3;6;1;22;3;6;1;0;2
199512;62;9;29;133;28;12;20;1;8;0;20;3;7;3;0;2
199601;58;6;36;122;26;10;20;2;4;0;21;3;9;5;0;2
199602;61;7;32;129;31;10;22;1;5;0;24;3;6;2;0;2
199603;63;8;29;134;27;10;25;1;7;0;22;4;5;3;0;1
199604;57;11;32;125;24;11;22;1;5;0;25;3;4;4;0;2
199605;59;9;32;127;27;12;21;3;6;1;22;5;4;3;1;2
199606;64;9;27;137;26;11;19;2;8;0;21;3;3;3;1;3
199607;66;6;28;138;27;14;23;3;7;0;23;2;4;1;1;1
199608;66;7;27;139;29;13;22;2;7;0;19;4;4;2;0;2
199609;63;8;29;134;26;13;18;4;7;0;20;4;5;2;0;2
199610;62;8;30;132;25;13;18;3;6;1;24;4;5;2;0;2
199611;63;9;28;135;28;10;19;2;6;0;21;4;4;0;0;2
199612;63;8;29;134;23;11;16;2;7;1;21;2;3;2;1;2
199701;65;11;24;141;26;11;16;2;13;0;19;3;4;1;0;2
199702;61;8;31;130;22;11;21;1;12;0;24;3;6;1;0;2
199703;64;7;29;135;23;12;22;2;9;0;23;4;5;1;0;3
199704;63;10;27;136;27;9;14;5;8;1;20;6;4;1;0;1
199705;71;8;21;150;30;13;19;2;11;0;17;3;3;1;0;0
199706;74;6;20;154;26;13;21;2;11;0;14;3;2;0;0;2
199707;63;10;27;136;22;7;20;2;10;0;20;5;1;1;0;2
199708;63;13;24;139;23;9;22;2;7;0;16;3;4;1;0;3
199709;67;9;24;143;27;10;21;1;9;0;17;2;2;1;0;2
199710;64;13;23;141;23;8;18;1;9;1;16;4;3;1;1;2
199711;66;8;26;140;24;8;17;1;7;0;21;1;1;0;0;2
199712;62;11;27;135;24;7;16;0;5;0;20;3;2;1;0;1
199801;65;15;20;145;27;5;23;1;6;0;16;1;2;1;0;1
199802;68;13;19;149;28;7;22;0;9;0;14;2;1;1;0;1
199803;65;16;19;146;27;5;28;1;9;0;17;1;2;0;0;2
199804;65;15;20;145;27;5;24;1;8;0;18;1;0;1;0;1
199805;68;12;20;148;27;6;26;0;9;0;17;2;1;0;0;1
199806;69;14;17;152;25;7;28;1;11;1;13;1;1;1;0;1
199807;62;15;23;139;25;5;26;1;6;0;15;1;3;0;0;1
199808;66;18;16;150;22;6;25;0;10;0;13;2;2;1;0;3
199809;63;16;21;142;31;4;24;0;8;0;14;2;1;2;0;1
199810;69;15;16;153;32;4;31;0;8;0;10;1;2;2;0;1
199811;72;11;17;155;29;4;36;1;8;0;10;1;1;1;0;2
199812;70;11;19;151;31;5;31;0;10;0;13;2;2;1;0;1
199901;73;11;16;157;29;6;31;1;8;0;10;1;2;1;0;0
199902;69;15;16;153;28;7;28;0;12;0;11;2;2;3;0;1
199903;70;12;18;152;34;6;30;0;10;0;14;2;1;1;0;2
199904;68;14;18;150;28;6;31;1;11;0;17;2;1;0;1;1
199905;70;11;19;151;22;10;30;0;15;0;13;1;2;1;1;1
199906;70;10;20;150;27;8;24;2;14;0;13;1;1;1;0;3
199907;71;11;18;153;24;6;27;2;12;0;12;2;1;1;0;2
199908;69;10;21;148;23;9;21;1;13;0;14;5;2;2;0;2
199909;67;11;22;145;20;6;20;2;13;0;13;2;3;1;0;3
199910;67;12;21;146;21;8;16;1;12;0;13;4;2;1;0;2
199911;68;12;20;148;26;5;20;1;11;0;13;3;3;1;1;2
199912;63;15;22;141;20;5;20;1;11;0;14;3;2;1;0;2
200001;65;14;21;144;26;6;15;2;10;1;15;5;1;1;0;2
200002;70;13;17;153;25;6;15;4;14;1;11;4;0;0;2;1
200003;62;10;28;134;21;6;16;3;15;1;17;5;2;0;9;2
200004;69;10;21;148;23;10;15;4;15;2;13;2;1;0;6;1
200005;66;13;21;145;22;9;20;3;13;1;11;6;1;0;4;1
200006;62;14;24;138;20;7;18;4;11;1;11;5;2;0;7;1
200007;65;11;24;141;27;6;15;1;13;1;12;4;1;0;9;1
200008;68;11;21;147;27;9;15;1;12;2;12;7;1;1;4;1
200009;67;11;22;145;22;5;16;2;14;0;12;3;1;1;4;1
200010;67;10;23;144;20;10;14;2;12;1;12;3;2;1;4;2
200011;68;13;19;149;25;7;16;2;13;1;9;3;2;1;4;1
200012;66;14;20;146;26;6;14;2;9;1;11;3;2;1;2;2
200101;60;13;27;133;30;3;17;2;5;0;9;4;5;3;4;1
200102;64;9;27;137;33;5;23;0;5;0;10;2;6;4;3;1
200103;67;12;21;146;33;5;27;1;3;0;11;3;5;3;2;2
200104;59;11;30;129;24;3;27;0;6;1;12;4;7;8;4;1
200105;59;15;26;133;28;4;26;0;4;1;10;2;3;4;9;1
200106;56;15;29;127;25;5;20;0;4;2;14;3;5;4;9;2
200107;61;16;23;138;37;4;28;0;5;0;11;3;6;3;3;2
200108;58;16;26;132;34;3;23;0;5;0;12;2;8;3;2;4
200109;60;13;27;133;30;3;21;0;5;1;9;3;7;10;3;1
200110;71;10;19;152;34;1;47;0;1;0;5;2;4;8;1;0
200111;79;6;15;164;33;1;59;0;1;0;5;2;5;6;1;0
200112;76;11;13;163;29;2;58;1;1;0;4;2;5;4;0;1
200201;71;14;15;156;36;1;53;0;1;0;5;3;5;4;0;1
200202;73;10;17;156;36;0;47;1;2;0;6;2;6;4;1;0
200203;67;15;18;149;35;2;39;1;5;0;8;2;6;3;1;1
200204;65;18;17;148;32;2;42;0;3;0;6;5;6;3;2;1
200205;69;13;18;151;34;3;39;1;5;0;10;1;5;3;1;1
200206;65;19;16;149;34;4;34;2;3;0;7;3;7;2;1;0
200207;72;11;17;155;41;3;43;1;3;0;7;4;5;4;0;0
200208;70;12;18;152;36;3;43;1;3;0;7;2;7;4;0;1
200209;74;10;16;158;33;2;49;0;4;0;7;2;4;4;1;1
200210;71;14;15;156;28;1;52;1;1;0;4;4;9;4;2;0
200211;70;13;17;153;28;2;50;1;1;0;7;3;4;6;1;0
200212;71;13;16;155;33;2;46;1;3;1;7;2;6;4;1;0
200301;71;10;19;152;37;2;43;1;3;1;7;2;8;6;2;0
200302;64;12;24;140;30;3;45;0;1;1;9;3;5;7;7;1
200303;67;7;26;141;34;1;43;0;2;1;7;3;6;7;8;1
200304;68;13;19;149;35;3;40;1;2;0;6;3;4;5;4;1
200305;76;8;16;160;38;3;50;0;2;1;5;1;5;5;2;2
200306;74;9;17;157;37;3;47;1;3;0;7;3;5;4;0;0
200307;76;8;16;160;37;2;50;0;2;0;6;2;5;5;1;0
200308;71;8;21;150;32;5;48;1;4;0;12;3;7;2;1;1
200309;72;8;20;152;38;3;42;0;2;1;9;4;4;4;2;0
200310;73;9;18;155;40;2;44;1;2;1;9;1;4;3;2;1
200311;76;9;15;161;38;2;44;1;3;0;7;2;4;2;1;1
200312;75;7;18;157;36;3;41;1;4;1;10;1;6;2;0;1
