Date,h=1,h=3,h=12
9/2013,0.554494222,0.690775719,0.855761654
10/2013,0.559562206,0.692413931,0.8544402
11/2013,0.561823266,0.69516793,0.854466144
12/2013,0.567653187,0.699196319,0.855166653
1/2014,0.578861773,0.705643817,0.855570759
2/2014,0.578180535,0.704929207,0.85461528
3/2014,0.568234967,0.697315541,0.851070034
4/2014,0.560716838,0.692088115,0.848851245
5/2014,0.556318042,0.689591939,0.848608095
6/2014,0.556650741,0.691404891,0.850533507
7/2014,0.569085527,0.702860555,0.857055392
8/2014,0.58246467,0.717135434,0.866565077
9/2014,0.592590634,0.72873499,0.874688406
10/2014,0.610610166,0.746519172,0.885454877
11/2014,0.632200964,0.767924492,0.898353649
12/2014,0.653062114,0.790460669,0.91206244
1/2015,0.668830909,0.80739093,0.9221372
2/2015,0.679987841,0.821625059,0.930200361
3/2015,0.676827348,0.815942172,0.927048677
4/2015,0.669192276,0.807098228,0.9242071
5/2015,0.657664388,0.797766208,0.920830567
6/2015,0.641285729,0.781664311,0.913004728
7/2015,0.632880484,0.774104099,0.909908533
8/2015,0.626495131,0.769472126,0.907300722
9/2015,0.629198683,0.770832599,0.905697354
10/2015,0.631705524,0.77271849,0.904411618
11/2015,0.644321659,0.780942577,0.906520844
12/2015,0.662894068,0.791594048,0.908800525
1/2016,0.657218759,0.788978701,0.908904949
2/2016,0.645655213,0.779778526,0.906852313
3/2016,0.632496552,0.770784427,0.904519569
4/2016,0.616016799,0.755637719,0.897098659
5/2016,0.603897512,0.743884298,0.891859216
6/2016,0.593760896,0.735619553,0.889045205
7/2016,0.591326969,0.734533831,0.890689582
8/2016,0.595114461,0.73555825,0.889378337
9/2016,0.596716096,0.735744036,0.889060538
10/2016,0.606955229,0.744177495,0.893649994
11/2016,0.620538148,0.757042085,0.900275494
12/2016,0.626722716,0.763854031,0.903799978
1/2017,0.632529703,0.76780655,0.903506116
2/2017,0.635345211,0.771440001,0.90373405
3/2017,0.640378427,0.776389541,0.906174662
4/2017,0.637665384,0.77387942,0.904994234
5/2017,0.630078581,0.768763636,0.903129961
6/2017,0.622742275,0.762244557,0.899440568
7/2017,0.62169785,0.759888508,0.896831642
8/2017,0.622525823,0.76196921,0.896878631
9/2017,0.631626311,0.769636192,0.899518148
10/2017,0.636241577,0.772926181,0.900668573
11/2017,0.625459124,0.766460158,0.899333301
12/2017,0.621505808,0.762838729,0.897792747
