Date,h=1,h=3,h=12
9/2006,0.652500374,0.736946128,0.901149389
10/2006,0.651933686,0.736269689,0.901048188
11/2006,0.642791302,0.72845975,0.898572348
12/2006,0.637384423,0.724193704,0.89766477
1/2007,0.640308213,0.726919406,0.899207768
2/2007,0.64808532,0.733752985,0.90224859
3/2007,0.659961014,0.744145113,0.906665285
4/2007,0.683036883,0.763818341,0.914626206
5/2007,0.709710805,0.785756427,0.922775994
6/2007,0.739797586,0.810697403,0.931952804
7/2007,0.776711387,0.840949485,0.942769779
8/2007,0.785963713,0.849883905,0.947846093
9/2007,0.809505285,0.870069337,0.956738519
10/2007,0.846094388,0.900094382,0.968137844
11/2007,0.899688252,0.942881281,0.983129812
12/2007,0.916676754,0.958525175,0.991048736
1/2008,0.957244656,0.991760197,1.003918863
2/2008,0.969437671,1.002949847,1.009933708
3/2008,0.991935452,1.021959179,1.018222573
4/2008,1.03888886,1.059213551,1.031611788
5/2008,1.097313633,1.105030229,1.047265238
6/2008,1.186358296,1.172624876,1.068348649
7/2008,1.230558138,1.207371769,1.080534705
8/2008,1.302805492,1.262041443,1.097801918
9/2008,1.427414951,1.352261615,1.123550903
10/2008,1.545621958,1.43364868,1.14442171
11/2008,1.492159696,1.397503245,1.13562666
12/2008,1.450698238,1.367840474,1.126934829
1/2009,1.460927215,1.372207292,1.12572098
2/2009,1.434606185,1.353068972,1.119706811
3/2009,1.388740732,1.31995989,1.109784474
4/2009,1.345000527,1.287132963,1.099275136
5/2009,1.245020114,1.214633654,1.079230152
6/2009,1.182259995,1.16744114,1.064580121
7/2009,1.156318453,1.146173401,1.056208448
8/2009,1.104326062,1.107203201,1.04406859
9/2009,1.08131161,1.088714099,1.037235662
10/2009,1.069693788,1.078722802,1.032879905
11/2009,1.042438819,1.058839036,1.027246111
12/2009,1.031239784,1.049869701,1.023915833
1/2010,1.028760343,1.047797209,1.022996784
2/2010,1.033927872,1.051148421,1.023702802
3/2010,1.047810664,1.061562283,1.02683603
4/2010,1.064552581,1.073853995,1.030347753
5/2010,1.105062333,1.102940908,1.038321167
6/2010,1.109265977,1.106263822,1.039251309
7/2010,1.108064411,1.105200727,1.038694326
8/2010,1.109358166,1.105345457,1.037670352
9/2010,1.089945566,1.091069845,1.033268087
10/2010,1.013469904,1.034445486,1.016748033
11/2010,0.969026788,1.000393244,1.005917431
12/2010,0.949372082,0.984462777,1.000103898
1/2011,0.908332982,0.952503016,0.989686542
2/2011,0.889221407,0.937258306,0.984334437
3/2011,0.874116743,0.925380189,0.980306695
4/2011,0.877874778,0.928126495,0.980922824
5/2011,0.899295157,0.944124792,0.985324168
6/2011,0.932796017,0.970033411,0.993241073
7/2011,0.989428556,1.012755181,1.005804964
8/2011,1.062849336,1.066534335,1.020580012
9/2011,1.109810578,1.100707984,1.029898854
10/2011,1.107150812,1.098818515,1.029120395
11/2011,1.016164763,1.03226702,1.010071149
12/2011,0.953221531,0.984830206,0.995801029
1/2012,0.92024998,0.958927309,0.987040433
2/2012,0.876207836,0.924439261,0.975714699
3/2012,0.851982869,0.904665486,0.968413941
4/2012,0.846061792,0.899116798,0.96542327
5/2012,0.857568536,0.906944598,0.966614474
6/2012,0.824013948,0.88026653,0.957284287
7/2012,0.793442056,0.855512537,0.948438126
8/2012,0.77054175,0.836675265,0.941576332
9/2012,0.751393323,0.820771582,0.935679449
10/2012,0.742934904,0.813325038,0.932662567
11/2012,0.737055431,0.807716405,0.930239739
12/2012,0.743476872,0.811928396,0.93104546
1/2013,0.754738391,0.82164895,0.934043539
2/2013,0.744926898,0.813780155,0.931108669
3/2013,0.750691229,0.818014404,0.932129727
4/2013,0.751107781,0.818415602,0.932079043
5/2013,0.763672398,0.8282318,0.935156043
6/2013,0.773395693,0.836204753,0.9379988
7/2013,0.794889972,0.852958672,0.943155237
8/2013,0.793970041,0.852570265,0.943395112
9/2013,0.78721258,0.847547705,0.941813012
10/2013,0.76738296,0.832106028,0.937288652
11/2013,0.759981033,0.825582706,0.934960179
12/2013,0.759980098,0.825143975,0.934850032
1/2014,0.770429973,0.833868911,0.937641093
2/2014,0.769427292,0.832848288,0.936805681
3/2014,0.757872544,0.824118459,0.933710379
4/2014,0.756887709,0.823287602,0.9325083
5/2014,0.760304623,0.82580278,0.932736062
6/2014,0.779495896,0.840513527,0.936803356
7/2014,0.808739285,0.862586689,0.943194237
8/2014,0.814782449,0.867774526,0.945495984
9/2014,0.823754029,0.87435674,0.947331487
10/2014,0.809298371,0.86391763,0.945093524
11/2014,0.794333744,0.853600898,0.943549336
12/2014,0.791679199,0.852425881,0.944517676
1/2015,0.804709077,0.863553549,0.949340865
2/2015,0.808886796,0.868183411,0.952315622
3/2015,0.788838982,0.853166155,0.948596719
4/2015,0.785582868,0.850790937,0.948260169
5/2015,0.791028783,0.85556081,0.950625573
6/2015,0.80838711,0.869832132,0.956140726
7/2015,0.839110798,0.894092199,0.964229094
8/2015,0.868907469,0.918297716,0.973095733
9/2015,0.881174595,0.927490791,0.975522892
10/2015,0.886267754,0.931472577,0.976812863
